a,b,country_a,country_b,same_country,n_coop_partners,coop_partners,n_adversaries,adversaries
Diablos Motorcycle Club,Warlocks Motorcycle Club (Florida),United States,United States,True,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Galloping Goose Motorcycle Club,Red Devils Motorcycle Club,United States,Sweden,False,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Fukuhaku-kai,Toa-kai,Japan,Japan,True,1,['Yamaguchi-gumi'],1,['Dojin-kai']
Clan De Luca Bossa,Clan Licciardi,Italy,Italy,True,1,['Secondigliano Alliance'],1,['Clan Mazzarella']
Gente Nueva,Los Chapitos,Mexico,Mexico,True,1,['Los Ántrax'],1,['La Mayiza']
Comando Classe A,Tren de Aragua,Brazil,Venezuela,False,1,['Primeiro Comando da Capital'],1,['Comando Vermelho']
Manitoba Warriors,Mongols MC,Canada,United States,False,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Nuova Camorra Organizzata,Remo Lecce Libera,Italy,,,1,"[""'Ndrangheta""]",1,['Sacra Corona Unita']
Los Choneros,Los Talibanes,Ecuador,Mexico,False,1,['Sinaloa Cartel'],1,['Cártel de Jalisco Nueva Generación']
Dhak-Duhre group,Kang crime family,,,,1,['United Nations (gang)'],1,['Independent Soldiers']
El Forastero Motorcycle Club,Sons of Silence,United States,United States,True,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Al-Qaeda in the Arabian Peninsula,Liwa Fatemiyoun,Yemen,,,1,['Houthis'],1,['Islamic State']
Los Angeles crime family,Rizzuto crime family,United States,Canada,False,1,['Hells Angels Motorcycle Club'],1,['Bonanno crime family']
Cárteles Unidos,Nueva Plaza Cartel,Mexico,Mexico,True,1,['Sinaloa Cartel'],1,['Cártel de Jalisco Nueva Generación']
Culver City Boys,Temple Street gang,United States,United States,True,1,['Mexican Mafia'],1,['18th Street Gang']
Chiapas–Guatemala Cartel,Cártel de Tláhuac,Mexico,Mexico,True,1,['Cártel de Jalisco Nueva Generación'],1,['Sinaloa Cartel']
Cannonball Motorcycle Club,White Boy Posse,Finland,Canada,False,1,['Hells Angels Motorcycle Club'],1,['Bandidos Motorcycle Club']
'Ndrina Lo Giudice,Latella 'ndrina,Italy,Italy,True,1,"[""'Ndrina Rosmini""]",1,"[""'Ndrina Barreca""]"
Almighty Vice Lord Nation,Ñetas,United States,Puerto Rico,False,1,['Latin Kings'],1,['Crips']
856 Gang,Satudarah,Canada,Netherlands,False,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Fuerza Anti-Unión,Knights Templar Cartel,Mexico,Mexico,True,1,['Cártel de Jalisco Nueva Generación'],1,['La Familia Michoacana']
Chiapas–Guatemala Cartel,Los Metros,Mexico,Mexico,True,1,['Cártel de Jalisco Nueva Generación'],1,['Sinaloa Cartel']
Bloods,East Harlem Purple Gang,United States,United States,True,1,['American Mafia'],1,['Bonanno crime family']
New Zealand Nomads,Satan's Choice Motorcycle Club,New Zealand,Canada,False,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Rudaj Organization,Stidda,United States,Italy,False,1,['American Mafia'],1,['American Mafia']
Desperados Motorcycle Club,Merciless Souls Motorcycle Club,,,,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Grupo Flechas,Los Viagras,Mexico,Mexico,True,1,['Cártel de Santa Rosa de Lima'],1,['Cártel de Jalisco Nueva Generación']
Cártel de Tláhuac,Los Lobos,Mexico,Ecuador,False,1,['Cártel de Jalisco Nueva Generación'],1,['Sinaloa Cartel']
Black Pistons Motorcycle Club,Outcasts MC,Germany,,,1,['Outlaws Motorcycle Club'],1,['Hells Angels Motorcycle Club']
'Ndrina Giuliano,Aprea-Cuccaro clan,Italy,Italy,True,1,['Rinaldi clan'],1,['Clan Mazzarella']
Black Pistons Motorcycle Club,Gypsy Joker Motorcycle Club,Germany,United States,False,1,['Outlaws Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Clan Pariante,Marino clan,Italy,,,1,['Amato-Pagano clan'],1,['Amato-Pagano clan']
Mongols MC,Original Red Devils Motorcycle Club,United States,Canada,False,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Al-Qaeda in the Arabian Peninsula,Hamas,Yemen,Palestine,False,1,['Houthis'],1,['Islamic State']
Red Devils Motorcycle Club,Satan's Choice Motorcycle Club,Sweden,Canada,False,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
'Ndrina Dragone,'Ndrina Megna,Italy,Italy,True,1,"[""'Ndrina Arena""]",1,"[""'Ndrina Grande Aracri""]"
Bandidos Motorcycle Club,Cotroni crime family,United States,Canada,False,1,['Hells Angels Motorcycle Club'],1,['Rock Machine Motorcycle Club']
Cártel de Jalisco Nueva Generación,Martinez Familia Sangeros,Mexico,Puerto Rico,False,1,['Gulf Cartel'],1,['Gulf Cartel']
Bonde dos 13,Família Terror do Amapá,Brazil,Brazil,True,1,['Primeiro Comando da Capital'],1,['Comando Vermelho']
Satan's Choice Motorcycle Club,Warlocks Motorcycle Club (Florida),Canada,United States,False,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Crips,Knights Templar Cartel,United States,Mexico,False,1,['Sinaloa Cartel'],1,['Mara Salvatrucha']
Philadelphia crime family,Sons of Satan Motorcycle Club,United States,United States,True,1,"[""Pagan's Motorcycle Club""]",1,['Hells Angels Motorcycle Club']
Clan Gionta,Clan Licciardi,Italy,Italy,True,1,['Clan Nuvoletta'],1,['Alfieri clan']
Los Chapitos,Los Metros,Mexico,Mexico,True,1,['Cártel de Jalisco Nueva Generación'],1,['Cártel del Noreste']
Iron Horsemen Motorcycle Club,White Boy Posse,United States,Canada,False,1,['Hells Angels Motorcycle Club'],1,['Bandidos Motorcycle Club']
856 Gang,Sons of Silence,Canada,United States,False,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Bonanno crime family,Papalia crime family,United States,Canada,False,1,['Buffalo crime family'],1,['Rizzuto crime family']
Prisoners of War MC,White Boy Posse,,Canada,,1,['Hells Angels Motorcycle Club'],1,['Bandidos Motorcycle Club']
Los Zetas,Temple Street gang,Mexico,United States,False,1,['Mara Salvatrucha'],1,['18th Street Gang']
Bloods,Head Hunters Motorcycle Club,United States,New Zealand,False,1,['King Cobras'],1,['Black Power (New Zealand gang)']
Al-Qaeda in the Arabian Peninsula,Jaysh al-Islam,Yemen,,,1,['Al-Nusra Front'],1,['Islamic State']
Armenian Power,Temple Street gang,United States,United States,True,1,['Mexican Mafia'],1,['18th Street Gang']
Cotroni crime family,Los Angeles crime family,Canada,United States,False,1,['Hells Angels Motorcycle Club'],1,['Buffalo crime family']
Bandidos Motorcycle Club,Palmers MC,United States,,,1,['Rock Machine Motorcycle Club'],1,['Rockers Motor Club']
Commisso 'ndrina,Papalia crime family,Italy,Canada,False,1,['Buffalo crime family'],1,['Rizzuto crime family']
Clan Fabbrocino,Clan Matrone,Italy,Italy,True,1,['Nuova Famiglia'],1,['Nuova Camorra Organizzata']
Grupo Flechas,La Familia Michoacana,Mexico,Mexico,True,1,['Los Zetas'],1,['Cártel de Jalisco Nueva Generación']
Galloping Goose Motorcycle Club,Sons of Silence,United States,United States,True,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Diablos Motorcycle Club,Merciless Souls Motorcycle Club,United States,,,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
'Ndrina Albanese,'Ndrina Gullace,Italy,,,1,"[""'Ndrina Piromalli""]",1,"[""'Ndrina Facchineri""]"
856 Gang,Bandidos Motorcycle Club,Canada,United States,False,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Cannonball Motorcycle Club,Miri clan,Finland,Germany,False,1,['Hells Angels Motorcycle Club'],1,['Bandidos Motorcycle Club']
Red Devils Motorcycle Club,Warlocks Motorcycle Club (Florida),Sweden,United States,False,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Nuova Famiglia Salentina,Società foggiana,,Italy,,1,['Sacra Corona Unita'],1,['Sacra Corona Unita']
Genovese crime family New Jersey faction,Velentzas Organization,United States,United States,True,1,['Lucchese crime family'],1,['Gambino crime family']
Chosen Few Motorcycle Club,Loners Motorcycle Club,United States,Canada,False,1,['Outlaws Motorcycle Club'],1,['Outlaws Motorcycle Club']
Shinwa-kai,Sumiyoshi-kai,Japan,Japan,True,1,['Yamaguchi-gumi'],1,['Yamaguchi-gumi']
Devils Diciples Motorcycle Club,Loners Motorcycle Club,United States,Canada,False,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
New Zealand Nomads,Road Knights Motorcycle Club,New Zealand,New Zealand,True,1,['Hells Angels Motorcycle Club'],1,['Mongrel Mob']
Imperial Gangsters,Satan Disciples,,,,1,['Spanish Gangster Disciples'],1,['Latin Counts']
Cannonball Motorcycle Club,Comanchero Motorcycle Club,Finland,Australia,False,1,['Hells Angels Motorcycle Club'],1,['Bandidos Motorcycle Club']
Hell's Henchmen MC,Mongols MC,,United States,,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Guerreros Unidos,Tren de Aragua,Mexico,Venezuela,False,1,['Cártel de Jalisco Nueva Generación'],1,['Sinaloa Cartel']
Bandidos Motorcycle Club,United Nations (gang),United States,Canada,False,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Devils Diciples Motorcycle Club,Warlocks MC,United States,,,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Loners Motorcycle Club,Outcasts MC,Canada,,,1,['Outlaws Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Mongols MC,Para-Dice Riders,United States,,,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
American Mafia,Clan Galasso di Poggiomarino,United States,Italy,False,1,['Nuova Famiglia'],1,['Nuova Camorra Organizzata']
Artistas Asesinos,Mara Salvatrucha,Mexico,United States,False,1,['Sinaloa Cartel'],1,['Juárez Cartel']
'Ndrina Fazzari,'Ndrina Piromalli,Italy,Italy,True,1,['Clan dei Casamonica'],1,"[""'Ndrina Facchineri""]"
Forty-Two Gang,New Orleans crime family,United States,United States,True,1,['Chicago Outfit'],1,['Chicago Outfit']
La Unión Tepito,Los Metros,Mexico,Mexico,True,1,['Cártel de Jalisco Nueva Generación'],1,['Sinaloa Cartel']
14K,Bloods,China,United States,False,1,['Wah Ching'],1,['Big Circle Gang']
Los Negros,Vineland Boys,Mexico,United States,False,1,['Sinaloa Cartel'],1,['18th Street Gang']
Clan Gionta,Clan Matrone,Italy,Italy,True,1,['Nuova Famiglia'],1,['Nuova Camorra Organizzata']
Plug Uglies,Shirt Tails,United States,United States,True,1,['Dead Rabbits'],1,['Bowery Boys']
Chicanos Motorcycle Club,Loners Motorcycle Club,Germany,Canada,False,1,['Bandidos Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Cártel de Colima,Los Chapitos,Mexico,Mexico,True,1,['Cártel de Jalisco Nueva Generación'],1,['Tijuana Cartel']
La Línea,Los Negros,Mexico,Mexico,True,1,['Los Zetas'],1,['Sinaloa Cartel']
Almighty Vice Lord Nation,Spanish Lords,United States,,,1,['Latin Counts'],1,['Maniac Latin Disciples']
Almighty Black P. Stone Nation,Taylor Street Jousters,United States,United States,True,1,['Chicago Outfit'],1,['Black Gangster Disciples Nation']
El Forastero Motorcycle Club,Mongols MC,United States,United States,True,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
'Ndrina Iamonte,'Ndrina Lo Giudice,Italy,Italy,True,1,"[""'Ndrina Serraino""]",1,"[""'Ndrina Barreca""]"
Miri clan,Red Devils Motorcycle Club,Germany,Sweden,False,1,['Hells Angels Motorcycle Club'],1,['Bandidos Motorcycle Club']
Artistas Asesinos,Nueva Plaza Cartel,Mexico,Mexico,True,1,['Sinaloa Cartel'],1,['Cártel de Jalisco Nueva Generación']
Ahbash,Amal Movement,,,,1,['Hezbollah'],1,['Hezbollah']
New Zealand Nomads,Rebels Motorcycle Club,New Zealand,Australia,False,1,['Tribesmen Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Outlaws Motorcycle Club,Thief in law,United States,Soviet Union,False,1,['American Mafia'],1,['Hells Angels Motorcycle Club']
Al-Shabaab,Liwa Fatemiyoun,Somalia,,,1,['Houthis'],1,['Islamic State']
Beltrán-Leyva Organization,Chiapas–Guatemala Cartel,Mexico,Mexico,True,1,['Cártel de Jalisco Nueva Generación'],1,['Sinaloa Cartel']
Clan Matrone,Moccia clan,Italy,Italy,True,1,['Nuova Famiglia'],1,['Cesarano clan']
Indian Posse,Sons of Silence,Canada,United States,False,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
La Línea,Los Pelones,Mexico,Mexico,True,1,['Gulf Cartel'],1,['Gente Nueva']
Clan Gallo-Cavalieri,Clan dei Casalesi,Italy,Italy,True,1,['Nuova Famiglia'],1,['Clan Gionta']
Bacon Brothers,Dhak-Duhre coalition,Canada,,,1,['United Nations (gang)'],1,['Wolfpack Alliance']
18th Street Gang,Martinez Familia Sangeros,United States,Puerto Rico,False,1,['Latin Kings'],1,['Gulf Cartel']
Aryan Brotherhood,East Side Longos,United States,,,1,['Mexican Mafia'],1,['Big Circle Gang']
Loners Motorcycle Club,Red Scorpions,Canada,Canada,True,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Mullen Gang,Patriarca crime family,United States,United States,True,1,['Winter Hill Gang'],1,['Winter Hill Gang']
Miri clan,Satudarah,Germany,Netherlands,False,1,['Hells Angels Motorcycle Club'],1,['Bandidos Motorcycle Club']
Comando Classe A,Guardiões do Estado,Brazil,Brazil,True,1,['Primeiro Comando da Capital'],1,['Comando Vermelho']
Los Muertos,Los Zetas,,Mexico,,1,['Juárez Cartel'],1,['Gente Nueva']
Comando Vermelho,La Unión Tepito,Brazil,Mexico,False,1,['Tren de Aragua'],1,['Tren de Aragua']
Cártel de Santa Rosa de Lima,Cártel del Noreste,Mexico,Mexico,True,1,['Gulf Cartel'],1,['Cártel de Jalisco Nueva Generación']
Palestinian Islamic Jihad,Wagner Group,Palestine,Russia,False,1,['Hamas'],1,['Islamic State']
Cotroni crime family,Red Devils Motorcycle Club,Canada,Sweden,False,1,['Hells Angels Motorcycle Club'],1,['Rock Machine Motorcycle Club']
856 Gang,Mongols MC,Canada,United States,False,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Al-Shabaab,Hamas,Somalia,Palestine,False,1,['Houthis'],1,['Islamic State']
Aprea-Cuccaro clan,Clan Licciardi,Italy,Italy,True,1,['Secondigliano Alliance'],1,['Clan Mazzarella']
Artistas Asesinos,La Empresa,Mexico,Colombia,False,1,['Los Mexicles'],1,['Juárez Cartel']
Al-Qaeda,Amal Movement,Saudi Arabia,,,1,['Hezbollah'],1,['Islamic State']
Ahrar al-Sham,Boko Haram,Syria,Nigeria,False,1,['Islamic State'],1,['Islamic State']
856 Gang,Manitoba Warriors,Canada,Canada,True,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Los Ninis,Los Rojos,Mexico,Mexico,True,1,['Sinaloa Cartel'],1,['Beltrán-Leyva Organization']
Artistas Asesinos,Los Viagras,Mexico,Mexico,True,1,['Sinaloa Cartel'],1,['Cártel de Jalisco Nueva Generación']
Bandidos Motorcycle Club,El Forastero Motorcycle Club,United States,United States,True,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Los Choneros,Los Negros,Ecuador,Mexico,False,1,['Sinaloa Cartel'],1,['Cártel de Jalisco Nueva Generación']
Guerreros Unidos,Los Mexicles,Mexico,Mexico,True,1,['Cártel de Jalisco Nueva Generación'],1,['Gulf Cartel']
Satudarah,White Boy Posse,Netherlands,Canada,False,1,['Hells Angels Motorcycle Club'],1,['Bandidos Motorcycle Club']
Sons of Silence,United Nations (gang),United States,Canada,False,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Almighty Vice Lord Nation,Pirus,United States,United States,True,1,['Bloods'],1,['Crips']
Clan Fabbrocino,Sacra Corona Unita,Italy,Italy,True,1,"[""'Ndrangheta""]",1,['Nuova Camorra Organizzata']
Devils Diciples Motorcycle Club,Satan's Choice Motorcycle Club,United States,Canada,False,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Beltrán-Leyva Organization,Organización Beltrán Leyva,Mexico,,,1,['Sinaloa Cartel'],1,['Sinaloa Cartel']
Cheetham Hill Gang,Rusholme Crew Gangsters,United Kingdom,,,1,['Gooch Close Gang'],1,['Doddington gang']
Merciless Souls Motorcycle Club,Warlocks Motorcycle Club (Florida),,United States,,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Cártel de Caborca,Tren de Aragua,Mexico,Venezuela,False,1,['Cártel de Jalisco Nueva Generación'],1,['Sinaloa Cartel']
Cártel de los Rojos,Independent Cartel of Acapulco,Mexico,Mexico,True,1,['Guerreros Unidos'],1,['La Familia Michoacana']
East Harlem Purple Gang,Rizzuto crime family,United States,Canada,False,1,['Bonanno crime family'],1,['Bonanno crime family']
Cártel de Tláhuac,Los Metros,Mexico,Mexico,True,1,['Cártel de Jalisco Nueva Generación'],1,['Sinaloa Cartel']
Satan Disciples,Spanish Cobras,,United States,,1,['Spanish Gangster Disciples'],1,['Almighty Insane Popes Nation']
'Ndrina Morabito,'Ndrina Tripodo,Italy,,,1,"[""'Ndrina Lo Presti""]",1,"[""'Ndrina Piromalli""]"
Al-Qaeda in the Arabian Peninsula,Hezbollah,Yemen,Lebanon,False,1,['Houthis'],1,['Islamic State']
Para-Dice Riders,Red Scorpions,,Canada,,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Aryan Brotherhood,New Zealand Nomads,United States,New Zealand,False,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Loners Motorcycle Club,Warlocks Motorcycle Club (Florida),Canada,United States,False,1,['Hells Angels Motorcycle Club'],1,['Outlaws Motorcycle Club']
Marino clan,Notturno clan,,,,1,['Amato-Pagano clan'],1,['Amato-Pagano clan']
Crips,Menace of Destruction,United States,United States,True,1,['Asian Boyz'],1,['Tiny Rascal Gang']
Tiny Rascal Gang,Zoe Pound,United States,United States,True,1,['Crips'],1,['Mara Salvatrucha']
Amirante clan,Sibillo clan,,,,1,"[""'Ndrina Giuliano""]",1,['Clan Mazzarella']
Bonde dos 13,Os Manos,Brazil,Brazil,True,1,['Primeiro Comando da Capital'],1,['Comando Vermelho']
American Mafia,Camorra clan Zaza,United States,,,1,['Nuova Famiglia'],1,['Nuova Camorra Organizzata']
Cartel de La Guajira,Los Rastrojos,Colombia,Colombia,True,1,['Autodefensas Unidas de Colombia'],1,['Clan del Golfo']
Armenian Power,Varrio Nuevo Estrada,United States,United States,True,1,['Mexican Mafia'],1,['White Fence']
Gypsy Joker Motorcycle Club,Pagan's Motorcycle Club,United States,United States,True,1,['Outlaws Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Cártel de Jalisco Nueva Generación,Wolfpack Alliance,Mexico,Canada,False,1,['Sinaloa Cartel'],1,['Sinaloa Cartel']
Comanchero Motorcycle Club,Elmir family,Australia,,,1,['Alameddine crime network'],1,['Ahmad family']
Comanchero Motorcycle Club,New Zealand Nomads,Australia,New Zealand,False,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Clan Gionta,Sacra Corona Unita,Italy,Italy,True,1,['Società foggiana'],1,['Nuova Camorra Organizzata']
Gambino crime family,Martinez Familia Sangeros,United States,Puerto Rico,False,1,['Latin Kings'],1,['Rudaj Organization']
Breed Motorcycle Club,Loners Motorcycle Club,United States,Canada,False,1,['Outlaws Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Gulf Cartel,Paulino Castillo Organization,Mexico,,,1,['Martinez Familia Sangeros'],1,['Martinez Familia Sangeros']
Indian Posse,Mexican Mafia,Canada,United States,False,1,['Hells Angels Motorcycle Club'],1,['Hells Angels Motorcycle Club']
Dirty Dozen Motorcycle Club,Mexican Mafia,United States,United States,True,1,['Hells Angels Motorcycle Club'],1,['Mongols MC']
Harrison Gents,Satan Disciples,,,,1,['Spanish Gangster Disciples'],1,['Taylor Street Jousters']
38th Street Gang,Mara Salvatrucha,United States,United States,True,1,['Mexican Mafia'],1,['Bloods']
